QB,RB,RB,WR,WR,WR,TE,FLEX,DEF,"","Instructions"
"82666-69189","82666-93134","82666-40442","82666-53681","82666-60858","82666-55635","82666-41872","82666-89956","82666-12541","","1) Create a lineup by inserting any player from this list into their appropriate position columns"
"","","","","","","","","","","2) You can paste either the Player ID + Name OR ID from their respective columns"
"","","","","","","","","","","3) Any information to the right of the last position column will be ignored in the upload"
"","","","","","","","","","","4) Maximum of 250 lineups per upload"
"","","","","","","","","",""
"","","","","","","","","","",Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
"","","","","","","","","","",82666-39280:Derrick Henry,82666-39280,RB,Derrick,Derrick Henry,Henry,19.785714285714285,7,9500,TEN@KC,TEN,KC,,,,,,RB/FLEX
"","","","","","","","","","",82666-80001:Austin Ekeler,82666-80001,RB,Austin,Austin Ekeler,Ekeler,21.17142813546317,7,9400,LAC@ATL,LAC,ATL,Q,Abdomen,,,,RB/FLEX
"","","","","","","","","","",82666-62239:Josh Allen,82666-62239,QB,Josh,Josh Allen,Allen,28.074286324637278,7,9300,BUF@NYJ,BUF,NYJ,,,,,,QB
"","","","","","","","","","",82666-79970:Cooper Kupp,82666-79970,WR,Cooper,Cooper Kupp,Kupp,19.957142421177455,7,9000,LAR@TB,LAR,TB,Q,Ankle,,,,WR/FLEX
"","","","","","","","","","",82666-85671:Justin Jefferson,82666-85671,WR,Justin,Justin Jefferson,Jefferson,17.488571166992188,7,9000,MIN@WAS,MIN,WAS,,,,,,WR/FLEX
"","","","","","","","","","",82666-25079:Stefon Diggs,82666-25079,WR,Stefon,Stefon Diggs,Diggs,20.84285627092634,7,8900,BUF@NYJ,BUF,NYJ,,,,,,WR/FLEX
"","","","","","","","","","",82666-72731:Josh Jacobs,82666-72731,RB,Josh,Josh Jacobs,Jacobs,18.542857578822545,7,8800,LV@JAC,LV,JAC,,,,,,RB/FLEX
"","","","","","","","","","",82666-57439:Patrick Mahomes,82666-57439,QB,Patrick,Patrick Mahomes,Mahomes,24.951429094587052,7,8700,TEN@KC,KC,TEN,,,,,,QB
"","","","","","","","","","",82666-53681:Tyreek Hill,82666-53681,WR,Tyreek,Tyreek Hill,Hill,18.137500762939453,8,8700,MIA@CHI,MIA,CHI,,,,,,WR/FLEX
"","","","","","","","","","",82666-42104:Alvin Kamara,82666-42104,RB,Alvin,Alvin Kamara,Kamara,16.75,6,8700,BAL@NO,NO,BAL,,,,,,RB/FLEX
"","","","","","","","","","",82666-16606:DeAndre Hopkins,82666-16606,WR,DeAndre,DeAndre Hopkins,Hopkins,21.600000381469727,2,8600,SEA@ARI,ARI,SEA,,,,,,WR/FLEX
"","","","","","","","","","",82666-54140:Dalvin Cook,82666-54140,RB,Dalvin,Dalvin Cook,Cook,14.799999782017299,7,8500,MIN@WAS,MIN,WAS,,,,,,RB/FLEX
"","","","","","","","","","",82666-63115:Lamar Jackson,82666-63115,QB,Lamar,Lamar Jackson,Jackson,23.087499618530273,8,8500,BAL@NO,BAL,NO,,,,,,QB
"","","","","","","","","","",82666-63336:Joe Burrow,82666-63336,QB,Joe,Joe Burrow,Burrow,23.295000076293945,8,8500,CAR@CIN,CIN,CAR,,,,,,QB
"","","","","","","","","","",82666-103342:Kenneth Walker III,82666-103342,RB,Kenneth,Kenneth Walker III,Walker III,11.914285932268415,7,8300,SEA@ARI,SEA,ARI,,,,,,RB/FLEX
"","","","","","","","","","",82666-33076:Travis Kelce,82666-33076,TE,Travis,Travis Kelce,Kelce,17.614286150251115,7,8200,TEN@KC,KC,TEN,,,,,,TE/FLEX
"","","","","","","","","","",82666-90573:Jaylen Waddle,82666-90573,WR,Jaylen,Jaylen Waddle,Waddle,15.425000190734863,8,8200,MIA@CHI,MIA,CHI,,,,,,WR/FLEX
"","","","","","","","","","",82666-63484:Kyler Murray,82666-63484,QB,Kyler,Kyler Murray,Murray,20.202499389648438,8,8200,SEA@ARI,ARI,SEA,,,,,,QB
"","","","","","","","","","",82666-45889:Davante Adams,82666-45889,WR,Davante,Davante Adams,Adams,14.299999782017299,7,8100,LV@JAC,LV,JAC,,,,,,WR/FLEX
"","","","","","","","","","",82666-52442:Joe Mixon,82666-52442,RB,Joe,Joe Mixon,Mixon,12.449999809265137,8,8100,CAR@CIN,CIN,CAR,,,,,,RB/FLEX
"","","","","","","","","","",82666-90572:Tua Tagovailoa,82666-90572,QB,Tua,Tua Tagovailoa,Tagovailoa,19.270000457763672,6,8000,MIA@CHI,MIA,CHI,,,,,,QB
"","","","","","","","","","",82666-111540:Rhamondre Stevenson,82666-111540,RB,Rhamondre,Rhamondre Stevenson,Stevenson,14.6875,8,8000,IND@NE,NE,IND,,,,,,RB/FLEX
"","","","","","","","","","",82666-85701:Ja'Marr Chase,82666-85701,WR,Ja'Marr,Ja'Marr Chase,Chase,16.885713849748885,7,8000,CAR@CIN,CIN,CAR,O,Hip,,,,WR/FLEX
"","","","","","","","","","",82666-89981:Tee Higgins,82666-89981,WR,Tee,Tee Higgins,Higgins,12.200000217982701,7,8000,CAR@CIN,CIN,CAR,,,,,,WR/FLEX
"","","","","","","","","","",82666-22038:Kirk Cousins,82666-22038,QB,Kirk,Kirk Cousins,Cousins,18.051428658621653,7,7900,MIN@WAS,MIN,WAS,,,,,,QB
