Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
81947-80001,RB,Austin,Austin Ekeler,Ekeler,19.583333333333332,6,9500,SEA@LAC,LAC,SEA,,,,,,RB/FLEX
81947-64401,RB,Saquon,Saquon Barkley,Barkley,18.933333079020183,6,9300,NYG@JAC,NYG,JAC,,,,,,RB/FLEX
81947-39280,RB,Derrick,Derrick Henry,Henry,17.58000030517578,5,9200,IND@TEN,TEN,IND,,,,,,RB/FLEX
81947-53562,RB,Nick,Nick Chubb,Chubb,19.25,6,8900,CLE@BAL,CLE,BAL,,,,,,RB/FLEX
81947-63115,QB,Lamar,Lamar Jackson,Jackson,25.363332112630207,6,8800,CLE@BAL,BAL,CLE,,,,,,QB
81947-55050,RB,Christian,Christian McCaffrey,McCaffrey,16.916666666666668,6,8700,KC@SF,SF,KC,,,,,,RB/FLEX
81947-72731,RB,Josh,Josh Jacobs,Jacobs,17.68000030517578,5,8600,HOU@LV,LV,HOU,,,,,,RB/FLEX
81947-45889,WR,Davante,Davante Adams,Adams,17.18000030517578,5,8600,HOU@LV,LV,HOU,,,,,,WR/FLEX
81947-57439,QB,Patrick,Patrick Mahomes,Mahomes,24.45666758219401,6,8500,KC@SF,KC,SF,,,,,,QB
81947-52436,TE,Mark,Mark Andrews,Andrews,15.883333841959635,6,8500,CLE@BAL,BAL,CLE,Q,Knee,,,,TE/FLEX
81947-85701,WR,Ja'Marr,Ja'Marr Chase,Chase,14.866666158040365,6,8500,ATL@CIN,CIN,ATL,,,,,,WR/FLEX
81947-52922,RB,Leonard,Leonard Fournette,Fournette,16.25,6,8400,TB@CAR,TB,CAR,,,,,,RB/FLEX
81947-33076,TE,Travis,Travis Kelce,Kelce,18.416666666666668,6,8300,KC@SF,KC,SF,,,,,,TE/FLEX
81947-63336,QB,Joe,Joe Burrow,Burrow,22.106666564941406,6,8300,ATL@CIN,CIN,ATL,,,,,,QB
81947-69189,QB,Justin,Justin Herbert,Herbert,17.706666310628254,6,8100,SEA@LAC,LAC,SEA,,,,,,QB
81947-89675,RB,Jonathan,Jonathan Taylor,Taylor,11.425000190734863,4,8000,IND@TEN,IND,TEN,,,,,,RB/FLEX
81947-91598,RB,D'Andre,D'Andre Swift,Swift,15.59999974568685,3,7800,DET@DAL,DET,DAL,Q,Shoulder,,,,RB/FLEX
81947-45631,RB,Jamaal,Jamaal Williams,Williams,14.939999389648438,5,7800,DET@DAL,DET,DAL,,,,,,RB/FLEX
81947-39829,WR,Mike,Mike Williams,Williams,11.316666920979818,6,7800,SEA@LAC,LAC,SEA,,,,,,WR/FLEX
81947-86055,RB,Dameon,Dameon Pierce,Pierce,14.280000305175781,5,7700,HOU@LV,HOU,LV,,,,,,RB/FLEX
81947-86631,WR,CeeDee,CeeDee Lamb,Lamb,11.816666920979818,6,7700,DET@DAL,DAL,DET,,,,,,WR/FLEX
81947-56018,WR,Deebo,Deebo Samuel,Samuel,12.933333079020182,6,7700,KC@SF,SF,KC,,,,,,WR/FLEX
81947-32384,WR,Mike,Mike Evans,Evans,13.160000610351563,5,7600,TB@CAR,TB,CAR,,,,,,WR/FLEX
81947-103064,RB,Breece,Breece Hall,Hall,15.40000025431315,6,7600,NYJ@DEN,NYJ,DEN,,,,,,RB/FLEX
81947-45859,QB,Derek,Derek Carr,Carr,17.21199951171875,5,7600,HOU@LV,LV,HOU,,,,,,QB
81947-69213,WR,Michael,Michael Pittman Jr.,Pittman Jr.,13.339999389648437,5,7500,IND@TEN,IND,TEN,,,,,,WR/FLEX
81947-86997,WR,Amon-Ra,Amon-Ra St. Brown,St. Brown,16.350000381469727,4,7500,DET@DAL,DET,DAL,,,,,,WR/FLEX
